site,species,type,sample id,date,diameter,length,leaves,fweightb,dweightb,weightb,mass
exb,sal,plant,exb_s_01,8/5/2019,1.16,91,294,,12.02,7.16,4.86
exb,sal,plant,exb_s_02,8/5/2019,1.29,106,579,,17.12,7.23,9.89
exb,sal,plant,exb_s_03,8/5/2019,1.47,150,275,,13.83,7.19,6.64
exb,sal,plant,exb_s_04,8/5/2019,0.7,60,145,,9.65,7.16,2.49
exb,sal,plant,exb_s_05,8/5/2019,0.86,82,133,,9.59,7.24,2.35
exb,sal,plant,exb_s_06,8/5/2019,0.49,56,56,,9.05,7.28,1.77
exb,sal,plant,exb_s_07,8/5/2019,1.42,146,484,,18.61,7.28,11.33
exb,sal,plant,exb_s_08,8/5/2019,0.56,56,56,,8.58,7.22,1.36
exb,sal,plant,exb_s_09,8/5/2019,0.6,66,57,,8.42,7.29,1.13
exb,sal,plant,exb_s_10,8/5/2019,1.24,92,259,,13.26,7.22,6.04
exb,bet,plant,exb_b_01,8/5/2019,1.6,162,763,,16.64,7.29,9.35
exb,bet,plant,exb_b_02,8/5/2019,0.55,68,259,,9.18,7.12,2.06
exb,bet,plant,exb_b_03,8/5/2019,0.52,43,86,,8.4,7.24,1.16
exb,bet,plant,exb_b_04,8/5/2019,0.51,60,159,,8.22,7.19,1.03
exb,bet,plant,exb_b_05,8/5/2019,1,106,437,,12.42,7.23,5.19
exb,bet,plant,exb_b_06,8/5/2019,0.31,36,63,,7.81,7.25,0.56
exb,bet,plant,exb_b_07,8/5/2019,0.88,98,210,,9.97,7.22,2.75
exb,bet,plant,exb_b_08,8/5/2019,0.41,42,64,,7.88,7.14,0.74
exb,bet,plant,exb_b_09,8/5/2019,0.88,98,167,,10.67,7.21,3.46
exb,bet,plant,exb_b_10,8/5/2019,0.55,59,211,,7.7,5.91,1.79
y4,sal,branch,y4_s_b_01,8/6/2019,0.53,54,37,6.64,4.23,2.83,1.4
y4,sal,branch,y4_s_b_02,8/6/2019,0.45,72,103,8.07,4.53,2.83,1.7
y4,sal,branch,y4_s_b_03,8/6/2019,0.32,27,31,6,3.94,2.84,1.1
y4,sal,branch,y4_s_b_04,8/6/2019,0.73,72,267,21.5,9.14,2.84,6.3
y4,sal,branch,y4_s_b_05,8/6/2019,0.75,72,110,16.33,7.89,2.87,5.02
y4,aln,branch,y4_a_b_01,8/6/2019,1.12,90,134,35.75,15.11,2.84,12.27
y4,aln,branch,y4_a_b_02,8/6/2019,2.81,238,947,167.84,68.82,11.11,57.71
y4,aln,branch,y4_a_b_03,8/6/2019,1.77,153,471,118.58,50.9,11.05,39.85
y4,aln,branch,y4_a_b_04,8/6/2019,0.63,55,51,8.7,4.47,2.83,1.64
y4,aln,branch,y4_a_b_05,8/6/2019,1.27,102,257,154.58,26.84,11.17,15.67
y4,aln,plant,y4_a_p_01,8/6/2019,1.59,152,196,67.5,30.39,11.04,19.35
y4,aln,plant,y4_a_p_02,8/6/2019,0.98,88,83,61.21,7.38,2.82,4.56
y4,aln,plant,y4_a_p_03,8/6/2019,0.93,94,96,17.33,7.85,2.84,5.01
y4,aln,plant,y4_a_p_04,8/6/2019,2.15,181,384,107.03,45.68,11.05,34.63
y4,aln,plant,y4_a_p_05,8/6/2019,2.83,239,809,164.03,66.55,11.06,55.49
y4,sal,plant,y4_s_p_01,8/6/2019,0.98,67,176,9.5,5.12,2.82,2.3
y4,sal,plant,y4_s_p_02,8/6/2019,1.53,160,181,28.05,17.01,6.19,10.82
y4,sal,plant,y4_s_p_03,8/6/2019,2.04,286,1099,39.72,20.42,10.96,9.46
y4,sal,plant,y4_s_p_04,8/6/2019,2.03,365,2858,93.38,39.55,11.13,28.42
y4,sal,plant,y4_s_p_05,8/6/2019,3.78,460,3572,115.86,49.18,11.28,37.9
ldf,sal,plant,ldf_s_p_01,8/10/2019,0.82,76,95,9.38,5.6,2.85,2.75
ldf,sal,plant,ldf_s_p_02,8/10/2019,0.97,103,214,17.95,10.28,2.84,7.44
ldf,sal,plant,ldf_s_p_03,8/10/2019,1.09,88,174,26.23,18.28,11.19,7.09
ldf,sal,plant,ldf_s_p_04,8/10/2019,0.62,57,107,6.19,4.41,2.83,1.58
ldf,sal,plant,ldf_s_p_05,8/10/2019,0.55,54,69,7.08,5,2.83,2.17
ldf,sal,plant,ldf_s_p_06,8/10/2019,0.73,76,111,8.71,5.38,2.81,2.57
ldf,sal,plant,ldf_s_p_07,8/10/2019,0.45,60,16,6.16,4.18,2.78,1.4
ldf,sal,plant,ldf_s_p_08,8/10/2019,0.32,36,17,4.44,3.77,2.81,0.96
ldf,sal,plant,ldf_s_p_09,8/10/2019,0.5,51,58,6.66,4.64,2.82,1.82
ldf,sal,plant,ldf_s_p_10,8/10/2019,0.48,40,35,5.56,3.97,2.8,1.17
ldf,bet,plant,ldf_b_p_01,8/10/2019,1.49,137,782,41.61,25.34,11.02,14.32
ldf,bet,plant,ldf_b_p_02,8/10/2019,0.51,66,99,14.51,12.35,11,1.35
ldf,bet,plant,ldf_b_p_03,8/10/2019,1.01,101,357,22.98,16.56,11.05,5.51
ldf,bet,plant,ldf_b_p_04,8/10/2019,0.72,48,304,18.82,14.41,11.02,3.39
ldf,bet,plant,ldf_b_p_05,8/10/2019,0.68,60,105,13.74,11.93,11.03,0.9
ldf,bet,plant,ldf_b_p_06,8/10/2019,1.63,119,480,27.14,17.47,11.02,6.45
ldf,bet,plant,ldf_b_p_07,8/10/2019,0.75,79,189,16.01,13.4,11.14,2.26
ldf,bet,plant,ldf_b_p_08,8/10/2019,1.22,110,468,25.41,17.15,11.06,6.09
ldf,bet,plant,ldf_b_p_09,8/10/2019,0.36,38,48,13.59,11.77,11.1,0.67
ldf,bet,plant,ldf_b_p_10,8/10/2019,1.18,91,471,27.62,18.43,11.01,7.42
ldf,bet,plant,ldf_s_p_11,8/10/2019,0.4,51,26,7.98,4.91,2.83,2.08
ldf,bet,plant,ldf_b_p_11,8/10/2019,0.57,63,55,13.76,12.11,11.15,0.96
ldf,bet,plant,ldf_b_p_12,8/10/2019,0.69,74,144,15.97,12.93,10.96,1.97
ldf,bet,plant,ldf_b_p_13,8/10/2019,0.63,91,246,16.88,13.31,11.14,2.17
amb,sal,plant,amb_s_p_01,8/10/2019,0.99,127,128,22.6,15.43,11.06,4.37
amb,sal,plant,amb_s_p_02,8/10/2019,1.31,205,240,31.46,19.01,11.05,7.96
amb,sal,plant,amb_s_p_03,8/10/2019,1.58,228,381,37.88,22.77,11.05,11.72
amb,sal,plant,amb_s_p_04,8/10/2019,0.97,165,127,20.8,14.77,11,3.77
amb,sal,plant,amb_s_p_05,8/10/2019,1.6,165,491,47.45,25.68,10.97,14.71
amb,aln,branch,amb_a_b_01,8/10/2019,0.47,69,36,16.39,13.31,11.12,2.19
amb,aln,branch,amb_a_b_02,8/10/2019,1.42,147,153,41.91,23.68,11.11,12.57
amb,aln,branch,amb_a_b_03,8/10/2019,1.25,150,102,31.24,19.38,11.21,8.17
amb,aln,branch,amb_a_b_04,8/10/2019,1.41,157,81,33.64,20.7,11.18,9.52
amb,aln,plant,amb_a_p_01,8/10/2019,2.7,217,329,104.42,52.41,11.15,41.26
amb,aln,plant,amb_a_p_02,8/10/2019,2.33,165,468,118,60.38,11.13,49.25
amb,aln,plant,amb_a_p_03,8/10/2019,3.1,181,502,107.84,53.32,11.2,42.12
amb,aln,plant,amb_a_p_04,8/10/2019,0.88,97,64,17.56,13.33,11.11,2.22
amb,aln,plant,amb_a_p_05,8/10/2019,1.74,149,315,68.48,35.06,11.08,23.98
amb,sal,plant,amb_s_p_06,8/10/2019,2.38,193,440,51.05,27.57,11.13,16.44
amb,sal,plant,amb_s_p_07,8/10/2019,1.56,131,117,27.18,17.3,11.11,6.19
amb,sal,plant,amb_s_p_08,8/10/2019,1.74,137,222,36.05,20.58,11.12,9.46
amb,sal,plant,amb_s_p_09,8/10/2019,1.72,170,203,39.8,22.66,11.21,11.45
amb,sal,plant,amb_s_p_10,8/10/2019,2.29,228,718,79.83,40.21,11.16,29.05
